Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
employed,18 to 24,High School, Fintech,,low,,73500,2/7/2023
UNEMPLOYED,25_34,Diploma,Healthcare,,HIGH,9,21500,2/8/2023
unemployed,18 to 24,High School,Finance,,Medium,,,2/9/2023
employed,45-54,High School,Health,,Low,3,,2/10/2023
employed,25-34,Bachelor's, Fintech,Delhi,Low,25,7700,2/11/2023
unemployed,45-54,Masters,Tech ,Hyderabad,low,10,12900,2/12/2023
,25-34,PhD,Retail,Bangalore,moderate,1,31800,2/13/2023
Employed,25_34,High School,Health,Hyderabad,Medium,11,97900,2/14/2023
unemployed,18-24,PhD, Fintech,rural,moderate,4,14200,2/15/2023
Unemployed,25_34,PhD,Retail,suburban,High,17,106500,2/16/2023
,25_34,Diploma,Education,Delhi,Low,,39500,2/17/2023
,55+,Master,Retail,,HIGH,30,126600,2/18/2023
UNEMPLOYED,18-24,PhD,Retail,Delhi,HIGH,7,15700,2/19/2023
employed,35 - 44,,Finance,Delhi,High,27,115700,2/20/2023
Employed,18 to 24,high school,Retail,Mumbai,Low,,18800,2/21/2023
employed,45-54,Bachelors,Technology,urban,Low,,127400,2/22/2023
employed,,Ph.D,Finance,Mumbai,High,26,21600,2/23/2023
UNEMPLOYED,45-54,Masters,Healthcare,Delhi,moderate,6,42100,2/24/2023
EMPLOYED,25_34,Masters,Education,Urban,moderate,28,137400,2/25/2023
employed,25_34,High School,Health,Bangalore,low,,,2/26/2023
UNEMPLOYED,18-24,high school,Retail,suburban,,,83000,2/27/2023
unemployed,18 to 24,Master,Health,Delhi,Low,24,126300,2/28/2023
EMPLOYED,25-34,PhD,Finance,suburban,,,,3/1/2023
UNEMPLOYED,55+,Diploma,Retail,suburban,moderate,,26300,3/2/2023
Unemployed,25-34,Masters,Education,Mumbai,Low,24,78900,3/3/2023
Unemployed,18 to 24,Diploma, Fintech,,High,,51000,3/4/2023
Employed,18-24,PhD,Technology,urban,moderate,,48900,3/5/2023
,45-54,Diploma,,urban,moderate,,113200,3/6/2023
UNEMPLOYED,18 to 24,Masters,Technology,rural,moderate,18,,3/7/2023
Unemployed,18-24,Ph.D,,,moderate,,,3/8/2023
UNEMPLOYED,45-54,Bachelor's,Finance,suburban,moderate,17,57200,3/9/2023
Employed,45-54,Diploma,Health,urban,,,84000,3/10/2023
Employed,25-34,,,rural,low,,63700,3/11/2023
unemployed,25-34,Ph.D,Retail,Bangalore,Low,,90500,3/12/2023
EMPLOYED,35 - 44,high school,Retail,Bangalore,moderate,15,33400,3/13/2023
Employed,25-34,Ph.D, Fintech,Bangalore,Low,12,,3/14/2023
unemployed,45-54,Diploma, Fintech,rural,HIGH,20,130700,3/15/2023
UNEMPLOYED,18 to 24,High School,Retail,Delhi,Medium,,90000,3/16/2023
unemployed,25_34,High School,,Urban,,27,142200,3/17/2023
UNEMPLOYED,18 to 24,Masters,Finance,suburban,Low,,125800,3/18/2023
EMPLOYED,25_34,Bachelors,Technology,urban,Medium,,,3/19/2023
Unemployed,35 - 44,High School,Education,Mumbai,,,100200,3/20/2023
UNEMPLOYED,,Master,Tech ,suburban,low,,140200,3/21/2023
Employed,25-34,Bachelor's,Education,Delhi,low,,17900,3/22/2023
Employed,25_34,Bachelors,Health,Hyderabad,HIGH,22,79100,3/23/2023
Unemployed,18-24,Masters,Tech ,rural,Low,,,3/24/2023
employed,18-24,high school,Health,suburban,Medium,4,46100,3/25/2023
Employed,25_34,Diploma,Finance,Mumbai,,26,120100,3/26/2023
,55+,Bachelors,Tech ,Bangalore,moderate,,135100,3/27/2023
UNEMPLOYED,55+,Bachelors,Retail,Delhi,Low,,56300,3/28/2023
Unemployed,25-34,PhD,Retail,suburban,HIGH,,105400,3/29/2023
,55+,Bachelors, Fintech,Delhi,,12,148700,3/30/2023
EMPLOYED,35 - 44,, Fintech,Hyderabad,low,26,88400,3/31/2023
EMPLOYED,45-54,Diploma,Finance,Bangalore,HIGH,16,124600,4/1/2023
employed,35 - 44,Bachelor's, Fintech,Hyderabad,Medium,20,19000,4/2/2023
EMPLOYED,35 - 44,Master,Retail,Bangalore,HIGH,21,66200,4/3/2023
Employed,,PhD,Education,Mumbai,HIGH,,81600,4/4/2023
,25_34,high school,Health,urban,low,,,4/5/2023
UNEMPLOYED,25_34,Ph.D, Fintech,Hyderabad,Low,26,,4/6/2023
Employed,25-34,Diploma,Healthcare,Hyderabad,Medium,,,4/7/2023
Employed,25_34,Ph.D,,urban,High,2,8900,4/8/2023
Unemployed,25-34,Diploma,Retail,Hyderabad,HIGH,,124300,4/9/2023
EMPLOYED,45-54,Ph.D,Health,,Low,12,141400,4/10/2023
employed,18 to 24,PhD,Tech ,Bangalore,,,50600,4/11/2023
Employed,45-54,,Technology,Delhi,Medium,25,76500,4/12/2023
unemployed,25-34,high school,Retail,Mumbai,moderate,,,4/13/2023
employed,,Diploma,Healthcare,rural,moderate,,44200,4/14/2023
employed,45-54,Bachelors,Retail,urban,High,0,137100,4/15/2023
Employed,18-24,Master,Health,urban,High,,,4/16/2023
Unemployed,25-34,Bachelors,Health,urban,Low,16,73800,4/17/2023
EMPLOYED,25-34,Master,Retail,urban,Low,,,4/18/2023
Employed,18 to 24,Diploma,Tech ,Delhi,High,,40300,4/19/2023
,18-24,Masters,Healthcare,Mumbai,Medium,26,25900,4/20/2023
,25_34,,Education,,HIGH,5,68500,4/21/2023
unemployed,35 - 44,Ph.D,Finance,Delhi,low,28,44700,4/22/2023
unemployed,18 to 24,PhD,Health,urban,High,10,20200,4/23/2023
Employed,25-34,,,urban,Medium,1,130200,4/24/2023
Employed,25-34,Masters,Education,suburban,low,15,7600,4/25/2023
unemployed,45-54,High School,Finance,Delhi,low,,109500,4/26/2023
employed,25-34,PhD,Retail,Urban,Low,,26900,4/27/2023
EMPLOYED,35 - 44,High School,Technology,rural,Low,7,21000,4/28/2023
,25_34,,Finance,Urban,Medium,,5400,4/29/2023
employed,18 to 24,PhD,,Mumbai,High,,35200,4/30/2023
employed,18-24,Masters,Healthcare,suburban,moderate,,,5/1/2023
Employed,45-54,PhD,Tech ,Hyderabad,High,18,10500,5/2/2023
,45-54,High School,Healthcare,Urban,HIGH,0,123100,5/3/2023
Employed,,High School,Technology,Mumbai,Medium,8,43400,5/4/2023
employed,45-54,,Finance,,Medium,20,79000,5/5/2023
EMPLOYED,25_34,Diploma,Education,urban,High,,125300,5/6/2023
UNEMPLOYED,25_34,Ph.D,Tech ,urban,Medium,23,11500,5/7/2023
unemployed,55+,PhD,Technology,,Medium,,,5/8/2023
employed,,High School,Health,Bangalore,Low,6,,5/9/2023
unemployed,35 - 44,High School,Retail,Hyderabad,moderate,,23500,5/10/2023
UNEMPLOYED,18 to 24,Bachelor's,Education,Delhi,,,54800,5/11/2023
,35 - 44,Bachelors, Fintech,,Medium,,140000,5/12/2023
unemployed,18 to 24,Master, Fintech,Urban,Low,,,5/13/2023
,45-54,High School,Retail,Urban,HIGH,,110800,5/14/2023
employed,25_34,Masters,Finance,suburban,,11,67000,5/15/2023
employed,25_34,high school,Finance,Bangalore,,,109800,5/16/2023
Employed,45-54,PhD,Healthcare,Urban,low,,,5/17/2023
employed,18 to 24,Bachelor's,Retail,Bangalore,,18,,5/18/2023
Unemployed,35 - 44,Masters,Retail,Mumbai,Medium,,65300,5/19/2023
EMPLOYED,35 - 44,High School,Technology,urban,Low,,76500,5/20/2023
employed,25-34,,Technology,Hyderabad,Low,5,141000,5/21/2023
EMPLOYED,18-24,Diploma,Healthcare,Delhi,HIGH,,8000,5/22/2023
Unemployed,25_34,,Health,Bangalore,,,52800,5/23/2023
Employed,25_34,Bachelors,Education,suburban,,,96300,5/24/2023
employed,,,Retail,Bangalore,HIGH,0,103700,5/25/2023
EMPLOYED,25_34,Bachelors,Education,rural,Low,,100700,5/26/2023
Unemployed,18 to 24,Masters, Fintech,Urban,HIGH,17,122200,5/27/2023
unemployed,25-34,high school, Fintech,,moderate,,,5/28/2023
employed,25-34,,Healthcare,rural,,,22700,5/29/2023
EMPLOYED,18 to 24,PhD,Healthcare,urban,Medium,28,,5/30/2023
Unemployed,18-24,Bachelor's,Tech ,Bangalore,moderate,,89900,5/31/2023
employed,18-24,Master,,Delhi,low,30,65200,6/1/2023
employed,18-24,High School,Health,Delhi,HIGH,,,6/2/2023
Employed,25-34,Diploma,Retail,Hyderabad,HIGH,,97100,6/3/2023
,18 to 24,high school,Education,Bangalore,,5,40400,6/4/2023
Employed,18 to 24,Masters,Retail,suburban,High,,102600,6/5/2023
Unemployed,55+,Master,Retail,urban,HIGH,,125900,6/6/2023
UNEMPLOYED,25_34,, Fintech,Bangalore,,5,135500,6/7/2023
Employed,55+,Master,Education,rural,Medium,,,6/8/2023
EMPLOYED,25_34,Bachelors,Education,Hyderabad,,0,22400,6/9/2023
UNEMPLOYED,45-54,,Health,,moderate,,50000,6/10/2023
employed,55+,Bachelor's,Health,Urban,,,81200,6/11/2023
Employed,55+,Masters,Retail,,HIGH,,119200,6/12/2023
employed,35 - 44,Diploma,Retail,Hyderabad,HIGH,,106600,6/13/2023
Employed,18 to 24,Masters,Health,Mumbai,moderate,3,44700,6/14/2023
,25-34,Diploma,Education,Bangalore,moderate,19,37600,6/15/2023
unemployed,18-24,Bachelors,Health,Hyderabad,HIGH,,131300,6/16/2023
employed,,PhD,Education,suburban,Medium,,118300,6/17/2023
employed,25_34,Ph.D,Retail,Urban,low,,75300,6/18/2023
Unemployed,55+,Diploma,Technology,,HIGH,19,53300,6/19/2023
unemployed,18-24,Bachelors,Health,urban,low,,88400,6/20/2023
Unemployed,55+,Master,Education,Mumbai,Low,19,110800,6/21/2023
unemployed,55+,Bachelors,Education,Hyderabad,Low,28,115100,6/22/2023
employed,25_34,Bachelors,Education,Hyderabad,,9,11800,6/23/2023
EMPLOYED,55+,high school,Retail,,HIGH,,41000,6/24/2023
unemployed,35 - 44,Ph.D,Retail,Urban,HIGH,23,16400,6/25/2023
unemployed,,Masters,Tech ,Hyderabad,Low,18,80100,6/26/2023
UNEMPLOYED,25_34,high school,Retail,Urban,,26,,6/27/2023
Unemployed,45-54,,Retail,Urban,HIGH,,21200,6/28/2023
unemployed,18-24,high school,Technology,urban,Low,,12500,6/29/2023
UNEMPLOYED,45-54,PhD,Retail,suburban,High,,70700,6/30/2023
Unemployed,18-24,high school,Retail,suburban,low,29,96000,7/1/2023
employed,18-24,Masters,Health,suburban,low,,123200,7/2/2023
employed,25-34,Master,,suburban,,,,7/3/2023
Unemployed,35 - 44,Ph.D,Healthcare,Urban,Medium,5,54200,7/4/2023
Unemployed,55+,Masters,Healthcare,suburban,Medium,,24000,7/5/2023
UNEMPLOYED,55+,Bachelor's,Health,rural,,,65100,7/6/2023
,25-34,Masters,,suburban,HIGH,,85900,7/7/2023
,,Bachelor's,Health,suburban,HIGH,,67000,7/8/2023
unemployed,55+,Bachelor's,Finance,Mumbai,moderate,,114100,7/9/2023
EMPLOYED,25-34,High School,Education,Mumbai,Medium,,30100,7/10/2023
Unemployed,,Bachelor's,Technology,Bangalore,Low,17,139100,7/11/2023
unemployed,,High School,Retail,rural,High,,140500,7/12/2023
Unemployed,18 to 24,Bachelors,Health,Hyderabad,Low,,60500,7/13/2023
Employed,18-24,High School,Tech ,Delhi,Low,,58000,7/14/2023
employed,,Diploma,Finance,Mumbai,moderate,24,118200,7/15/2023
employed,18-24,High School,Tech ,Mumbai,High,29,77200,7/16/2023
Employed,45-54,Bachelor's,Finance,urban,High,24,96400,7/17/2023
employed,25-34,Bachelor's,Technology,suburban,Medium,14,,7/18/2023
Unemployed,18 to 24,Master,Retail,Delhi,High,,,7/19/2023
Employed,55+,Diploma,Education,Urban,low,,116300,7/20/2023
EMPLOYED,45-54,Bachelor's,Retail,,Medium,29,,7/21/2023
employed,18-24,,Education,Mumbai,Medium,,66400,7/22/2023
,25-34,Diploma, Fintech,Mumbai,Medium,13,32900,7/23/2023
unemployed,35 - 44,,Health,Urban,Medium,,125900,7/24/2023
EMPLOYED,18-24,,,Urban,moderate,22,82700,7/25/2023
,55+,Bachelors,Retail,Bangalore,HIGH,6,,7/26/2023
unemployed,35 - 44,,,rural,,28,102300,7/27/2023
EMPLOYED,25_34,PhD,Health,Delhi,HIGH,,121300,7/28/2023
,18-24,PhD,Education,,Low,20,64500,7/29/2023
unemployed,25-34,Diploma,Retail,Urban,Low,,75200,7/30/2023
unemployed,45-54,Bachelor's,Health,rural,moderate,11,74200,7/31/2023
Unemployed,55+,Masters,Tech ,suburban,moderate,18,127100,8/1/2023
employed,25-34,high school,Education,rural,High,14,68600,8/2/2023
EMPLOYED,25-34,Diploma,Health,Delhi,,,,8/3/2023
,25_34,PhD,Technology,Mumbai,,,37700,8/4/2023
employed,35 - 44,Bachelor's,Health,Delhi,low,,76000,8/5/2023
Employed,,PhD,Education,Delhi,High,24,,8/6/2023
EMPLOYED,55+,Ph.D,Education,Hyderabad,HIGH,21,31500,8/7/2023
unemployed,25_34,Bachelors,Healthcare,rural,Low,,126700,8/8/2023
UNEMPLOYED,55+,Ph.D,Finance,Hyderabad,,0,,8/9/2023
,35 - 44,Diploma,Tech ,Mumbai,Low,13,6500,8/10/2023
,45-54,Bachelors,Retail,Hyderabad,HIGH,,45500,8/11/2023
Employed,18-24,Bachelor's,Retail,Hyderabad,Medium,20,22300,8/12/2023
,18 to 24,,Technology,Urban,HIGH,,6500,8/13/2023
UNEMPLOYED,45-54,high school,Health,Urban,High,,,8/14/2023
Employed,25_34,Master,Technology,Hyderabad,High,27,,8/15/2023
Unemployed,,,Retail,urban,High,22,107400,8/16/2023
unemployed,,Bachelor's,Technology,Bangalore,Low,,83800,8/17/2023
unemployed,18 to 24,high school,Retail,Delhi,HIGH,25,70400,8/18/2023
EMPLOYED,25_34,Ph.D,Tech ,Hyderabad,Low,2,105700,8/19/2023
Unemployed,35 - 44,Diploma,,Mumbai,moderate,10,11300,8/20/2023
EMPLOYED,25-34,high school,Education,,moderate,,,8/21/2023
UNEMPLOYED,45-54,,Healthcare,Urban,High,22,,8/22/2023
Unemployed,18 to 24,Bachelor's,Finance,Delhi,High,7,17600,8/23/2023
unemployed,,Master,Retail,urban,moderate,,8000,8/24/2023
Employed,,Masters,Finance,Delhi,HIGH,29,,8/25/2023
employed,45-54,,Education,Mumbai,Low,28,7100,8/26/2023
unemployed,18-24,Ph.D,Tech ,,Low,27,35500,8/27/2023
unemployed,45-54,PhD,Finance,,Low,0,96600,8/28/2023
EMPLOYED,45-54,Ph.D,Tech ,,HIGH,,136200,8/29/2023
employed,,Masters,Healthcare,,HIGH,15,35100,8/30/2023
unemployed,,Bachelor's,Education,Mumbai,High,,39900,8/31/2023
employed,,Diploma,Retail,Bangalore,High,,77600,9/1/2023
,18-24,Masters,Retail,Delhi,,7,15000,9/2/2023
,18 to 24,Bachelor's,Healthcare,urban,Low,,92500,9/3/2023
unemployed,25-34,Masters,Healthcare,rural,High,,106800,9/4/2023
Unemployed,18 to 24,Bachelors,Tech ,Urban,Medium,,79900,9/5/2023
,25_34,Bachelor's, Fintech,Bangalore,moderate,,125300,9/6/2023
UNEMPLOYED,25-34,Bachelor's, Fintech,Hyderabad,High,,,9/7/2023
unemployed,25-34,Master,Tech ,Hyderabad,Medium,23,102200,9/8/2023
employed,45-54,Bachelors,,Urban,High,,82300,9/9/2023
employed,25-34,Ph.D,Healthcare,Mumbai,low,23,102800,9/10/2023
employed,18-24,,Education,suburban,High,17,84100,9/11/2023
employed,18 to 24,Master,Health,Hyderabad,low,6,68500,9/12/2023
Unemployed,,High School, Fintech,Hyderabad,Medium,,,9/13/2023
,18-24,Bachelor's,Tech ,suburban,moderate,1,126900,9/14/2023
EMPLOYED,,high school,,Urban,moderate,6,120300,9/15/2023
Employed,18 to 24,Master,Tech ,urban,Low,,37000,9/16/2023
Employed,25_34,PhD,Retail,Bangalore,HIGH,,119400,9/17/2023
EMPLOYED,18 to 24,Ph.D,Healthcare,rural,,30,144200,9/18/2023
Employed,,Bachelors,Finance,,moderate,29,37500,9/19/2023
employed,35 - 44,Diploma,Health,,Medium,,26100,9/20/2023
UNEMPLOYED,35 - 44,Master,Finance,,,3,104000,9/21/2023
EMPLOYED,45-54,high school,Education,Bangalore,High,6,66200,9/22/2023
unemployed,18 to 24,Diploma, Fintech,,moderate,8,106700,9/23/2023
unemployed,55+,Bachelors, Fintech,Hyderabad,Medium,5,88000,9/24/2023
EMPLOYED,25-34,Bachelors,Tech ,Hyderabad,HIGH,26,103000,9/25/2023
EMPLOYED,18-24,Ph.D,,suburban,High,13,114200,9/26/2023
employed,25_34,PhD,Retail,suburban,Low,,8900,9/27/2023
,45-54,Ph.D,Health,rural,moderate,,44300,9/28/2023
,,Ph.D,Tech ,,low,,104400,9/29/2023
Unemployed,45-54,Ph.D,Retail,,HIGH,0,,9/30/2023
Employed,,Diploma,Retail,Urban,,14,129800,10/1/2023
,25_34,Bachelors,Retail,Mumbai,High,,66100,10/2/2023
EMPLOYED,18-24,Bachelors,Finance,Bangalore,Low,,114500,10/3/2023
Unemployed,18 to 24,high school,Retail,Mumbai,Low,,112900,10/4/2023
employed,18-24,Ph.D,,Mumbai,low,3,88300,10/5/2023
Employed,18 to 24,Bachelor's,Retail,rural,HIGH,,34400,10/6/2023
EMPLOYED,25_34,high school,Retail,Delhi,Low,26,144200,10/7/2023
Employed,45-54,Bachelors,Tech ,suburban,low,,8700,10/8/2023
UNEMPLOYED,18-24,Masters,Tech ,Urban,moderate,,13900,10/9/2023
unemployed,18-24,,Healthcare,,Low,4,,10/10/2023
unemployed,25_34,high school, Fintech,Mumbai,,,,10/11/2023
employed,18 to 24,Bachelors, Fintech,urban,High,17,78200,10/12/2023
unemployed,45-54,Diploma,Tech ,Bangalore,HIGH,,135100,10/13/2023
UNEMPLOYED,18-24,Bachelors,Education,urban,moderate,,,10/14/2023
EMPLOYED,35 - 44,Ph.D,,suburban,Low,,,10/15/2023
Employed,55+,PhD, Fintech,suburban,Medium,7,109300,10/16/2023
unemployed,25-34,Diploma,,Delhi,High,,57800,10/17/2023
EMPLOYED,25_34,Masters,,Mumbai,High,,,10/18/2023
,18 to 24,Bachelors,Health,,High,,113000,10/19/2023
Employed,25-34,Bachelor's,Retail,Delhi,HIGH,,32100,10/20/2023
UNEMPLOYED,18-24,High School, Fintech,Mumbai,Low,3,12600,10/21/2023
employed,25_34,Diploma,Retail,Hyderabad,HIGH,,71800,10/22/2023
Unemployed,25_34,PhD,Technology,Hyderabad,low,22,,10/23/2023
employed,25_34,Ph.D,Tech ,Urban,moderate,,101500,10/24/2023
EMPLOYED,25_34,Master,Health,Bangalore,,30,30500,10/25/2023
,18 to 24,Bachelor's,Healthcare,suburban,low,12,78300,10/26/2023
Unemployed,18-24,Masters,,Urban,High,24,98200,10/27/2023
EMPLOYED,45-54,Bachelor's,Education,suburban,,22,105000,10/28/2023
UNEMPLOYED,25_34,PhD,Health,urban,High,21,141700,10/29/2023
Employed,35 - 44,Bachelors, Fintech,suburban,,,146900,10/30/2023
EMPLOYED,55+,Bachelors,Retail,urban,Medium,,22100,10/31/2023
,45-54,high school,Health,Hyderabad,,13,83800,11/1/2023
Unemployed,18-24,PhD,,Delhi,Medium,,133600,11/2/2023
Employed,18-24,high school,Retail,rural,Low,15,102800,11/3/2023
employed,45-54,Ph.D,Finance,urban,HIGH,25,89300,11/4/2023
Unemployed,25-34,Master,Healthcare,urban,Low,,61200,11/5/2023
Unemployed,18 to 24,Bachelors,Technology,Delhi,,2,108300,11/6/2023
Unemployed,25_34,high school,,urban,HIGH,,128500,11/7/2023
Employed,18-24,PhD,,Urban,High,,117600,11/8/2023
employed,25-34,High School,Retail,rural,Medium,,21400,11/9/2023
UNEMPLOYED,35 - 44,,Technology,urban,Low,6,137300,11/10/2023
UNEMPLOYED,55+,PhD, Fintech,Bangalore,Low,,62300,11/11/2023
EMPLOYED,18-24,High School,Health,Mumbai,,15,88500,11/12/2023
unemployed,,high school,Education,,Low,,,11/13/2023
unemployed,25-34,PhD, Fintech,Hyderabad,Low,23,141200,11/14/2023
UNEMPLOYED,18 to 24,Master,Finance,,low,,142300,11/15/2023
,25_34,Ph.D,Education,Mumbai,low,1,115000,11/16/2023
UNEMPLOYED,55+,Masters,Tech ,Bangalore,High,21,,11/17/2023
EMPLOYED,45-54,PhD, Fintech,suburban,moderate,0,89600,11/18/2023
Unemployed,35 - 44,Masters,Education,suburban,moderate,0,42700,11/19/2023
employed,25_34,Bachelor's,Education,Mumbai,low,18,,11/20/2023
Employed,55+,Masters, Fintech,rural,Medium,25,38000,11/21/2023
Unemployed,18 to 24,High School,Healthcare,Delhi,moderate,20,39800,11/22/2023
,45-54,,,Hyderabad,Medium,1,31000,11/23/2023
EMPLOYED,35 - 44,Bachelors, Fintech,,High,12,61500,11/24/2023
EMPLOYED,35 - 44,Masters,,suburban,Medium,28,56800,11/25/2023
employed,35 - 44,PhD,Healthcare,suburban,,7,15900,11/26/2023
Unemployed,55+,Diploma,Retail,Urban,moderate,20,96600,11/27/2023
unemployed,55+,Diploma,Tech ,Delhi,High,,,11/28/2023
UNEMPLOYED,25-34,Ph.D,Healthcare,Bangalore,,,96100,11/29/2023
employed,35 - 44,Diploma,,rural,High,,,11/30/2023
Employed,18-24,Bachelor's,Finance,Bangalore,,26,72400,12/1/2023
Unemployed,55+,PhD,,Delhi,Medium,,143000,12/2/2023
employed,35 - 44,Master,Health,Hyderabad,High,,35700,12/3/2023
,,Bachelor's,,suburban,High,9,,12/4/2023
UNEMPLOYED,18-24,,Retail,urban,,13,8700,12/5/2023
,25_34,Diploma,Technology,,High,22,141800,12/6/2023
unemployed,35 - 44,,Health,urban,Low,,21500,12/7/2023
UNEMPLOYED,35 - 44,High School,Finance,,Medium,4,126000,12/8/2023
employed,,Ph.D,Healthcare,Hyderabad,Medium,,,12/9/2023
employed,25-34,Masters,,,Medium,,92700,12/10/2023
Unemployed,25-34,PhD,Retail,Urban,moderate,,,12/11/2023
unemployed,25_34,Master, Fintech,Delhi,High,,139900,12/12/2023
EMPLOYED,55+,Ph.D,Retail,urban,High,,26900,12/13/2023
Unemployed,18 to 24,Master,Tech ,Mumbai,Low,16,,12/14/2023
EMPLOYED,25_34,Bachelor's,,urban,High,3,5400,12/15/2023
UNEMPLOYED,55+,high school,Finance,,Low,,81100,12/16/2023
UNEMPLOYED,55+,Bachelors,Education,Mumbai,Medium,16,,12/17/2023
UNEMPLOYED,45-54,,Retail,Bangalore,HIGH,14,139700,12/18/2023
unemployed,45-54,Bachelor's, Fintech,suburban,low,,112900,12/19/2023
EMPLOYED,55+,Master,,Mumbai,moderate,30,109900,12/20/2023
Employed,18 to 24,high school,Finance,suburban,Medium,,112400,12/21/2023
Employed,,Bachelors,,suburban,moderate,26,108300,12/22/2023
Employed,18-24,PhD,Education,Delhi,HIGH,,71400,12/23/2023
UNEMPLOYED,,Bachelors,Education,urban,moderate,,17600,12/24/2023
Unemployed,18 to 24,Masters,Education,suburban,Low,10,51000,12/25/2023
Unemployed,25_34,High School,Finance,Delhi,HIGH,,109800,12/26/2023
Unemployed,18 to 24,Masters,Finance,Mumbai,High,,111300,12/27/2023
,18 to 24,Master,Education,,Medium,22,92900,12/28/2023
,55+,,Technology,urban,High,24,28100,12/29/2023
Employed,35 - 44,Bachelor's,Education,suburban,low,16,100400,12/30/2023
EMPLOYED,45-54,PhD,Finance,suburban,,30,,12/31/2023
employed,25_34,Bachelors,Retail,Bangalore,low,,138600,1/1/2024
unemployed,25-34,High School,Healthcare,Hyderabad,moderate,11,,1/2/2024
,18-24,Bachelors,Healthcare,Delhi,moderate,30,40100,1/3/2024
employed,55+,Bachelor's,Health,Delhi,moderate,,104800,1/4/2024
Unemployed,35 - 44,Master,,Bangalore,low,7,95700,1/5/2024
,,high school,Finance,Hyderabad,,,36700,1/6/2024
EMPLOYED,,high school,Retail,Bangalore,,28,,1/7/2024
UNEMPLOYED,45-54,Ph.D,Education,suburban,High,13,,1/8/2024
Unemployed,45-54,Diploma,Healthcare,Hyderabad,High,,116000,1/9/2024
Unemployed,45-54,Master,Education,rural,moderate,2,29300,1/10/2024
UNEMPLOYED,18 to 24,high school,,Bangalore,HIGH,,24700,1/11/2024
employed,55+,PhD,Retail,Mumbai,low,,36200,1/12/2024
UNEMPLOYED,25_34,Masters,Education,Delhi,Medium,10,17800,1/13/2024
unemployed,18-24,Master,Health,Urban,Medium,11,52900,1/14/2024
unemployed,35 - 44,Masters,Retail,,low,,141000,1/15/2024
UNEMPLOYED,45-54,high school,Retail,rural,HIGH,,90300,1/16/2024
employed,25-34,,Finance,Urban,,30,139000,1/17/2024
Employed,35 - 44,Bachelors,Technology,Bangalore,HIGH,,63200,1/18/2024
unemployed,,Ph.D,Tech ,urban,moderate,,94400,1/19/2024
unemployed,35 - 44,Ph.D,Technology,Delhi,low,0,34800,1/20/2024
,25_34,Master,Finance,rural,HIGH,,61200,1/21/2024
